target_age,current_age,model,n_samples,bmi_mae,bmi_rmse,class_accuracy,z_correlation,z_score_actual_mean,z_score_actual_std,z_score_pred_mean,z_score_pred_std
24,18,SVR,267,3.324794007490637,4.283037530408925,0.7715355805243446,0.03462997192330117,-3.4764044943820225,2.297100393628186,-4.553857677902622,3.5310935201307276
24,18,MLP,265,3.255245283018868,4.2340634838067395,0.7811320754716982,0.048258432424590325,-3.523622641509434,2.239624060656669,-4.537584905660378,3.5569848660249668
24,18,XGB,265,3.2689811320754716,4.23785011354881,0.7735849056603774,0.053458038369111525,-3.5233207547169814,2.2449391954919475,-4.552075471698114,3.5661220195690118
24,18,LinearRegression,266,3.057932330827068,3.9116788215557166,0.7443609022556391,0.16981973640404383,-3.5854887218045115,2.2776610368412995,-4.182443609022557,3.5342898764858806
24,18,SVR,283,2.868480565371025,3.701497261757542,0.7985865724381626,0.1928822595119333,-3.5786219081272086,2.35143288587275,-4.470494699646643,3.2071138521375593
24,18,MLP,269,2.887955390334572,3.729967459519001,0.7732342007434945,0.16098219201468564,-3.565985130111524,2.266705569994221,-3.968959107806692,3.3221727273424673
24,18,XGB,266,3.0516165413533836,3.9006009272911992,0.7443609022556391,0.1728816801925901,-3.5854887218045115,2.2776610368412995,-4.198082706766917,3.525335435530811
24,18,LinearRegression,266,3.057932330827068,3.9116788215557166,0.7443609022556391,0.16981973640404383,-3.5854887218045115,2.2776610368412995,-4.182443609022557,3.5342898764858806
24,18,SVR,283,2.868480565371025,3.701497261757542,0.7985865724381626,0.1928822595119333,-3.5786219081272086,2.35143288587275,-4.470494699646643,3.2071138521375593
24,18,MLP,269,2.887955390334572,3.729967459519001,0.7732342007434945,0.16098219201468564,-3.565985130111524,2.266705569994221,-3.968959107806692,3.3221727273424673
24,18,XGB,266,3.0516165413533836,3.9006009272911992,0.7443609022556391,0.1728816801925901,-3.5854887218045115,2.2776610368412995,-4.198082706766917,3.525335435530811
24,18,LinearRegression,257,3.3996108949416346,4.156758689358383,0.77431906614786,0.188271303259245,-3.596614785992218,2.3212425852434966,-4.639961089494164,3.7525766502492255
24,18,SVR,254,3.450984251968504,4.237488717379819,0.7559055118110236,0.16425676753439963,-3.5810236220472444,2.437656947386729,-4.590905511811024,3.7402518398789204
24,18,MLP,255,3.3830196078431376,4.143395642583555,0.7725490196078432,0.18120634995246782,-3.58556862745098,2.3286945703876705,-4.596117647058824,3.7237558819707974
24,18,XGB,257,3.40284046692607,4.165266561132892,0.7704280155642024,0.18402052696726565,-3.590194552529183,2.3197718006919343,-4.654980544747081,3.746006966128463
24,18,LinearRegression,257,3.3996108949416346,4.156758689358383,0.77431906614786,0.188271303259245,-3.596614785992218,2.3212425852434966,-4.639961089494164,3.7525766502492255
24,18,SVR,254,3.450984251968504,4.237488717379819,0.7559055118110236,0.16425676753439963,-3.5810236220472444,2.437656947386729,-4.590905511811024,3.7402518398789204
24,18,MLP,255,3.3830196078431376,4.143395642583555,0.7725490196078432,0.18120634995246782,-3.58556862745098,2.3286945703876705,-4.596117647058824,3.7237558819707974
24,18,XGB,257,3.40284046692607,4.165266561132892,0.7704280155642024,0.18402052696726565,-3.590194552529183,2.3197718006919343,-4.654980544747081,3.746006966128463
