Transition_Key,Predictor_Age,Target_Age,Metric,Feature_Space,Feature_Count,Model,Accuracy,Precision,Recall,F1_Score
6Months_to_12Months_Weight_S2_No_Zscores,6Months,12Months,Weight,AIC_Optimized_Space,1,Neural_Network_MLP,0.8202,0.4245,0.4134,0.4166
6Months_to_12Months_Weight_S2_No_Zscores,6Months,12Months,Weight,BIC_Optimized_Space,1,XGBoost_Classifier,0.809,0.7383,0.571,0.6267
6Months_to_12Months_Weight_S2_No_Zscores,6Months,12Months,Weight,BIC_Optimized_Space,1,Support_Vector_Classifier,0.8315,0.2772,0.3333,0.3027
6Months_to_12Months_Weight_S2_No_Zscores,6Months,12Months,Weight,BIC_Optimized_Space,1,Neural_Network_MLP,0.8202,0.4245,0.4134,0.4166
6Months_to_12Months_Weight_S3_No_Base_Data,6Months,12Months,Weight,Full_Feature_Space,8,XGBoost_Classifier,0.8315,0.4602,0.4602,0.4602
6Months_to_12Months_Weight_S3_No_Base_Data,6Months,12Months,Weight,Full_Feature_Space,8,Support_Vector_Classifier,0.8427,0.462,0.4435,0.4499
6Months_to_12Months_Weight_S3_No_Base_Data,6Months,12Months,Weight,Full_Feature_Space,8,Neural_Network_MLP,0.8427,0.473,0.4858,0.4791
6Months_to_12Months_Weight_S3_No_Base_Data,6Months,12Months,Weight,AIC_Optimized_Space,4,XGBoost_Classifier,0.8876,0.6942,0.7294,0.7092
6Months_to_12Months_Weight_S3_No_Base_Data,6Months,12Months,Weight,AIC_Optimized_Space,4,Support_Vector_Classifier,0.8539,0.4971,0.4903,0.4933
6Months_to_12Months_Weight_S3_No_Base_Data,6Months,12Months,Weight,AIC_Optimized_Space,4,Neural_Network_MLP,0.8876,0.6861,0.7082,0.696
6Months_to_12Months_Weight_S3_No_Base_Data,6Months,12Months,Weight,BIC_Optimized_Space,1,XGBoost_Classifier,0.8764,0.8551,0.6403,0.7134
6Months_to_12Months_Weight_S3_No_Base_Data,6Months,12Months,Weight,BIC_Optimized_Space,1,Support_Vector_Classifier,0.8764,0.5026,0.5416,0.5198
6Months_to_12Months_Weight_S3_No_Base_Data,6Months,12Months,Weight,BIC_Optimized_Space,1,Neural_Network_MLP,0.8764,0.5044,0.5627,0.5277
6Months_to_12Months_Weight_S4_S6_Zscore_Only,6Months,12Months,Weight,Full_Feature_Space,6,XGBoost_Classifier,0.8652,0.5023,0.5371,0.5174
6Months_to_12Months_Weight_S4_S6_Zscore_Only,6Months,12Months,Weight,Full_Feature_Space,6,Support_Vector_Classifier,0.8315,0.4615,0.439,0.4476
6Months_to_12Months_Weight_S4_S6_Zscore_Only,6Months,12Months,Weight,Full_Feature_Space,6,Neural_Network_MLP,0.8427,0.4837,0.5069,0.4943
